indivID,year,Y,D,X,L,M,Exp,E,groupID,timeeff,t,iID,iFE,group_timeID,gFE,gtFE
0,1999,-1.6091518296020038,-0.31663671982619934,-1.9579289052621933,-1.2030983220784512,0,1,0.3386858957578064,1,1.14149659366282,1999.0,0.0,-0.3733428510368606,0,-0.5306208616597249,-0.6057019061110065
0,2000,-0.8504928081240741,0.023584776817572987,-0.14841097312491439,-0.36009017077589334,0,1,-0.2753542566065994,1,0.9876800948136614,2000.0,0.0,-0.3733428510368606,1,-0.5306208616597249,-0.5240836629541837
0,2001,-1.1968903325538918,-0.27376919639544217,-2.577414619746708,0.06271031854912103,0,1,1.1235250120049476,1,0.5253219404495543,2001.0,0.0,-0.3733428510368606,2,-0.5306208616597249,-0.27874678069010117
0,2002,-0.6847954560553229,-0.012743690362964286,0.34273912744276597,0.6002744113878774,0,1,0.4080626155842691,1,0.5391658750492702,2002.0,0.0,-0.3733428510368606,3,-0.5306208616597249,-0.2860926611961633
0,2003,0.25773855096260206,0.5510606296482868,-1.3084535828714932,-0.31116464223959406,0,1,-0.488202183605705,1,0.8773293412258665,2003.0,0.0,-0.3733428510368606,4,-0.5306208616597249,-0.4655292510006281
0,2004,-2.1341468652401163,-0.6849918001690692,-1.8828277849330477,-0.3269379938850567,0,1,-0.48991364403215704,1,0.7494434550178404,2004.0,0.0,-0.3733428510368606,5,-0.5306208616597249,-0.3976703318668077
0,2005,-0.052357574033504606,0.4739195915286617,-0.3131673312219569,0.1454561594560537,0,1,1.0621185423849522,1,1.17242791433562,2005.0,0.0,-0.3733428510368606,6,-0.5306208616597249,-0.6221147101386808
0,2006,0.07300011862686684,0.537374159024156,-0.838153102867161,-2.347205571298308,0,1,0.9507714092185867,1,1.174155883818,2006.0,0.0,-0.3733428510368606,7,-0.5306208616597249,-0.623031606794343
0,2007,-1.1297060027947388,0.19783251517082906,-0.3344376633637318,1.4039455062766562,1,1,-0.11287071528186036,1,1.2250740668479225,2007.0,0.0,-0.3733428510368606,8,-0.5306208616597249,-0.650049856947828
0,2008,-1.2370602342683041,0.18556928016758906,-1.0332246255671682,-0.6071016282682412,1,1,0.04032826223100649,1,1.381401116556556,2008.0,0.0,-0.3733428510368606,9,-0.5306208616597249,-0.7330002507649458
0,2009,0.2373268881644987,0.8550799359189991,1.0891268421907836,0.14748472209649285,1,1,-2.0450904073210023,1,1.113675273582449,2009.0,0.0,-0.3733428510368606,10,-0.5306208616597249,-0.590939333277449
0,2010,1.3204464585779276,1.3502589317958629,1.0235728550027308,0.10817976364344552,1,1,-2.6652844529855586,1,0.9295261462510565,2010.0,0.0,-0.3733428510368606,11,-0.5306208616597249,-0.493225964658979
0,2011,0.38682792708026464,0.9030433540424403,0.8529419650044158,-0.3511321321795438,1,1,0.2878233536369032,1,1.0118062353372443,2011.0,0.0,-0.3733428510368606,12,-0.5306208616597249,-0.536885496427331
0,2012,-1.20772958867413,0.12468495967490512,0.4523105252042008,0.10897264425627616,1,1,0.9724568496625645,1,1.0977891173903387,2012.0,0.0,-0.3733428510368606,13,-0.5306208616597249,-0.5825098073903304
1,1999,1.8511084353890792,0.4090808903918787,-0.7498201061199838,1.1040313560279038,0,1,-1.0131641465259458,1,1.14149659366282,1999.0,1.0,1.642739369620247,0,-0.5306208616597249,-0.6057019061110065
1,2000,1.4190645340306716,0.15095920973095886,-0.8435313264623993,0.8991530753093079,0,1,0.6352085349007738,1,0.9876800948136614,2000.0,1.0,1.642739369620247,1,-0.5306208616597249,-0.5240836629541837
1,2001,1.3444298587674126,-0.009830517669715204,0.77450399629332,1.8962685628625373,0,1,-0.5609082648230427,1,0.5253219404495543,2001.0,1.0,1.642739369620247,2,-0.5306208616597249,-0.27874678069010117
1,2002,0.28441336673041795,-0.2875544430621436,-2.096801997535428,-2.732816767680845,1,1,-0.8680344892622249,1,0.5391658750492702,2002.0,1.0,1.642739369620247,3,-0.5306208616597249,-0.2860926611961633
1,2003,1.9006035945449449,0.6147705909172492,-0.8224555432722985,0.5408672455259403,1,1,1.2324059371631872,1,0.8773293412258665,2003.0,1.0,1.642739369620247,4,-0.5306208616597249,-0.4655292510006281
1,2004,4.162534409976999,1.7173192825244021,-0.03126332992821723,0.06902163851961232,1,1,0.2085087489513587,1,0.7494434550178404,2004.0,1.0,1.642739369620247,5,-0.5306208616597249,-0.3976703318668077
