indivID,year,Y,D,X,M,Exp,E,groupID,timeeff,t,iID,iFE,group_timeID,gFE,gtFE
0,1999,0.34991367050134103,0.1916068623682604,3.672110820092705,0,1,13.097828395500803,1,1.1336882559299593,1999.0,0.0,-1.528425586191261,0,0.9965971797455898,1.1298305185704938
0,2000,4.868205430913901,2.186734388039878,8.440308323740425,0,1,13.676409573395159,1,1.205099489483155,2000.0,0.0,-1.528425586191261,1,0.9965971797455898,1.2009987525317625
0,2001,0.6919019588476476,0.4779005002833984,1.6820562562870118,0,1,11.059858681929134,1,1.104859562343265,2001.0,0.0,-1.528425586191261,2,0.9965971797455898,1.1010999238462447
0,2002,1.7737890757034935,0.9132581182723557,5.832027376157009,1,1,8.162549535777329,1,1.406414043109044,2002.0,0.0,-1.528425586191261,3,0.9965971797455898,1.4016282689170656
0,2003,3.0455019817338735,1.4804429979990354,6.3487156199165184,1,1,3.5454217079279466,1,1.498072110033993,2003.0,0.0,-1.528425586191261,4,0.9965971797455898,1.4929744399154024
0,2004,3.1767330728887986,2.0822346896111688,3.782582105312965,1,1,13.096600557974696,1,0.685586343317726,2004.0,0.0,-1.528425586191261,5,0.9965971797455898,0.6832534162225374
0,2005,-0.3825397204014944,0.008975258146714848,3.6115743992162597,1,1,9.528057984394028,1,1.271193304479933,2005.0,0.0,-1.528425586191261,6,0.9965971797455898,1.266867662156178
0,2006,2.6951295556278896,1.6304909799430605,6.724736471855746,1,1,4.702316303098105,1,0.8091578633131834,2006.0,0.0,-1.528425586191261,7,0.9965971797455898,0.806404444546886
0,2007,2.9482175824890864,1.8789658071269923,3.729988388871125,1,1,6.624856129828203,1,0.8674541642102673,2007.0,0.0,-1.528425586191261,8,0.9965971797455898,0.8645023736105202
0,2008,-0.013360336915463566,0.5847558018409977,2.590630014867743,1,1,10.690344084835075,1,0.5943607047700545,2008.0,0.0,-1.528425586191261,9,0.9965971797455898,0.5923382021254375
0,2009,2.957429152528978,1.622724567688802,7.310838217499145,1,1,3.9386008045662093,1,1.0290507018406467,2009.0,0.0,-1.528425586191261,10,0.9965971797455898,1.0255490272696084
0,2010,1.8195131878135609,1.3960173733570975,4.716859289127714,1,1,4.562551511580474,1,0.6002207153186294,2010.0,0.0,-1.528425586191261,11,0.9965971797455898,0.5981782721114266
0,2011,4.527603387580739,2.2849927768346747,5.196489818862653,1,1,4.848860168171775,1,1.4943292999935087,2011.0,0.0,-1.528425586191261,12,0.9965971797455898,1.4892443659847323
0,2012,0.9931567941131039,0.7718719227196367,2.956614605309811,1,1,9.202000434758023,1,1.1939586201368362,2012.0,0.0,-1.528425586191261,13,0.9965971797455898,1.1898957935613068
1,1999,2.3405383575183825,-0.009924521721245111,1.060332290508938,0,1,13.097828395500803,1,1.1336882559299593,1999.0,1.0,1.1244244081222727,0,0.9965971797455898,1.1298305185704938
1,2000,2.3055090497255684,-0.051607200736183134,0.8278421853653776,0,1,13.676409573395159,1,1.205099489483155,2000.0,1.0,1.1244244081222727,1,0.9965971797455898,1.2009987525317625
1,2001,4.846668143897448,1.2741471215302387,0.8559104008375539,0,1,11.059858681929134,1,1.104859562343265,2001.0,1.0,1.1244244081222727,2,0.9965971797455898,1.1010999238462447
1,2002,5.159833741494289,1.2773002356218464,0.919535955674765,0,1,8.162549535777329,1,1.406414043109044,2002.0,1.0,1.1244244081222727,3,0.9965971797455898,1.4016282689170656
1,2003,4.1321413105655,0.7091389305211023,1.0355599079083189,0,1,3.5454217079279466,1,1.498072110033993,2003.0,1.0,1.1244244081222727,4,0.9965971797455898,1.4929744399154024
1,2004,2.6018935180876586,0.3577358608580571,0.8232133063531456,0,1,13.096600557974696,1,0.685586343317726,2004.0,1.0,1.1244244081222727,5,0.9965971797455898,0.6832534162225374
1,2005,3.420666083635578,0.48743620776352914,0.5937595990770401,0,1,9.528057984394028,1,1.271193304479933,2005.0,1.0,1.1244244081222727,6,0.9965971797455898,1.266867662156178
1,2006,4.461154496853877,1.4670717474788826,1.1085286670174148,1,1,4.702316303098105,1,0.8091578633131834,2006.0,1.0,1.1244244081222727,7,0.9965971797455898,0.806404444546886
1,2007,1.7813493560336346,0.12388116755029871,0.45899050875747194,1,1,6.624856129828203,1,0.8674541642102673,2007.0,1.0,1.1244244081222727,8,0.9965971797455898,0.8645023736105202
1,2008,3.76078330919075,1.2401517912203073,0.7611863441462781,1,1,10.690344084835075,1,0.5943607047700545,2008.0,1.0,1.1244244081222727,9,0.9965971797455898,0.5923382021254375
1,2009,1.8158397910213626,0.04112296734627641,0.8403165061039128,1,1,3.9386008045662093,1,1.0290507018406467,2009.0,1.0,1.1244244081222727,10,0.9965971797455898,1.0255490272696084
1,2010,1.9210866433144638,0.316885978902575,0.6788086506464008,1,1,4.562551511580474,1,0.6002207153186294,2010.0,1.0,1.1244244081222727,11,0.9965971797455898,0.5981782721114266
1,2011,4.370659494030219,1.0978984011539314,0.7217290162689043,1,1,4.848860168171775,1,1.4943292999935087,2011.0,1.0,1.1244244081222727,12,0.9965971797455898,1.4892443659847323
1,2012,1.9782106301606461,0.022779218241194443,1.1855978417708948,1,1,9.202000434758023,1,1.1939586201368362,2012.0,1.0,1.1244244081222727,13,0.9965971797455898,1.1898957935613068
2,1999,4.428278554971728,0.8563857230945952,4.632100415944641,0,1,13.097828395500803,1,1.1336882559299593,1999.0,2.0,1.1310304058485254,0,0.9965971797455898,1.1298305185704938
2,2000,3.5302999638366237,0.394711679313821,4.1279456362183184,0,1,13.676409573395159,1,1.205099489483155,2000.0,2.0,1.1310304058485254,1,0.9965971797455898,1.2009987525317625
2,2001,4.273095346115658,0.7940000697944738,4.609048775298861,0,1,11.059858681929134,1,1.104859562343265,2001.0,2.0,1.1310304058485254,2,0.9965971797455898,1.1010999238462447
2,2002,0.7885275247291101,-0.9814371190368121,2.0892871684677505,0,1,8.162549535777329,1,1.406414043109044,2002.0,2.0,1.1310304058485254,3,0.9965971797455898,1.4016282689170656
2,2003,3.483967471061528,0.16750174665467388,5.266341494547987,0,1,3.5454217079279466,1,1.498072110033993,2003.0,2.0,1.1310304058485254,4,0.9965971797455898,1.4929744399154024
2,2004,5.51628731714465,1.4164795929414085,8.832091051201836,0,1,13.096600557974696,1,0.685586343317726,2004.0,2.0,1.1310304058485254,5,0.9965971797455898,0.6832534162225374
2,2005,4.927563735929119,1.1090487051662894,3.22658744643499,0,1,9.528057984394028,1,1.271193304479933,2005.0,2.0,1.1310304058485254,6,0.9965971797455898,1.266867662156178
2,2006,3.87288013800622,0.7598539626157648,4.233359020054364,0,1,4.702316303098105,1,0.8091578633131834,2006.0,2.0,1.1310304058485254,7,0.9965971797455898,0.806404444546886
2,2007,5.613778595970689,1.7546013234882918,6.265891827699431,1,1,6.624856129828203,1,0.8674541642102673,2007.0,2.0,1.1310304058485254,8,0.9965971797455898,0.8645023736105202
2,2008,4.7740731953886115,1.5954860502771968,3.7568734736302716,1,1,10.690344084835075,1,0.5943607047700545,2008.0,2.0,1.1310304058485254,9,0.9965971797455898,0.5923382021254375
2,2009,2.5449457665970407,0.3688683725809815,1.5431827204275375,1,1,3.9386008045662093,1,1.0290507018406467,2009.0,2.0,1.1310304058485254,10,0.9965971797455898,1.0255490272696084
2,2010,4.74061956965998,1.5390834227517471,4.486348804240508,1,1,4.562551511580474,1,0.6002207153186294,2010.0,2.0,1.1310304058485254,11,0.9965971797455898,0.5981782721114266
2,2011,4.584812809586481,1.0093158266011324,4.5599954281697,1,1,4.848860168171775,1,1.4943292999935087,2011.0,2.0,1.1310304058485254,12,0.9965971797455898,1.4892443659847323
2,2012,3.430196255313508,0.5732340089853514,4.6853437802282745,1,1,9.202000434758023,1,1.1939586201368362,2012.0,2.0,1.1310304058485254,13,0.9965971797455898,1.1898957935613068
3,1999,2.005565370524676,0.8132925122616181,5.043712045695843,0,1,13.097828395500803,1,1.1336882559299593,1999.0,3.0,-1.2470884520160224,0,0.9965971797455898,1.1298305185704938
3,2000,8.207362569145854,3.3722504956752517,15.426737822363613,0,1,13.676409573395159,1,1.205099489483155,2000.0,3.0,-1.2470884520160224,1,0.9965971797455898,1.2009987525317625
3,2001,5.543687015302313,2.3190051430610605,10.748553087805798,0,1,11.059858681929134,1,1.104859562343265,2001.0,3.0,-1.2470884520160224,2,0.9965971797455898,1.1010999238462447
3,2002,6.09600496795366,2.3849427821015716,11.954290146704906,0,1,8.162549535777329,1,1.406414043109044,2002.0,3.0,-1.2470884520160224,3,0.9965971797455898,1.4016282689170656
3,2003,5.923124686314605,2.5202128573894207,6.620151122102788,0,1,3.5454217079279466,1,1.498072110033993,2003.0,3.0,-1.2470884520160224,4,0.9965971797455898,1.4929744399154024
3,2004,2.4830050224123306,1.2650875896718916,5.293157547587511,0,1,13.096600557974696,1,0.685586343317726,2004.0,3.0,-1.2470884520160224,5,0.9965971797455898,0.6832534162225374
3,2005,4.701194730790728,1.9783532217409274,7.44492609386127,0,1,9.528057984394028,1,1.271193304479933,2005.0,3.0,-1.2470884520160224,6,0.9965971797455898,1.266867662156178
3,2006,6.415345770102587,2.9781388000788005,9.29533565414912,0,1,4.702316303098105,1,0.8091578633131834,2006.0,3.0,-1.2470884520160224,7,0.9965971797455898,0.806404444546886
3,2007,2.550504534830137,1.048019792146718,8.475312268636712,0,1,6.624856129828203,1,0.8674541642102673,2007.0,3.0,-1.2470884520160224,8,0.9965971797455898,0.8645023736105202
3,2008,1.7419779709698395,1.1594502683972632,5.8942218674987,1,1,10.690344084835075,1,0.5943607047700545,2008.0,3.0,-1.2470884520160224,9,0.9965971797455898,0.5923382021254375
3,2009,7.607734649493659,3.6205631046268296,11.243534960326821,1,1,3.9386008045662093,1,1.0290507018406467,2009.0,3.0,-1.2470884520160224,10,0.9965971797455898,1.0255490272696084
3,2010,2.6496048481371597,1.5457828691692734,7.224071183949023,1,1,4.562551511580474,1,0.6002207153186294,2010.0,3.0,-1.2470884520160224,11,0.9965971797455898,0.5981782721114266
